cam_x,cam_y,cam_z,base_x,base_y,base_z
-0.37916174698714195,0.09786499287195119,-0.7999317732162339,0.626650879,0.19228904700000002,0.179285095
-0.14160386281107948,0.18762614485432996,-0.9282912287710552,0.472426941,0.458474854,0.203961105
-0.522287075734523,0.37670753634429,-0.8955157372758117,0.490423035,0.110962738,0.40838336199999997
-0.34365081711651735,0.4620044083411906,-1.0759451506064863,0.18020697000000002,0.28246588100000003,0.41467236300000004
-0.13897438540338714,0.2799084885451723,-1.108890039225403,0.274573822,0.479299042,0.206986298
-0.035792229355319456,0.4684118968704457,-1.4167015124228755,-0.015919394,0.61463446,0.262089081
0.03889586803143807,0.5252348736703816,-1.086199758110243,0.223866013,0.717726868,0.456934937
-0.10380577407995221,0.683764493147732,-1.486471636434482,-0.207789627,0.583509094,0.43803241000000004
0.07076675148879838,0.6504937108876735,-1.576445201823598,-0.282933258,0.7582099,0.372822968
0.1562738578859365,0.741487973179111,-2.0341184717832217,-0.282933258,0.7582099,0.372822968
0.20869337835092996,0.5695217229000864,-1.5707151524411163,0.204862274,0.7981906129999999,0.393902496
-0.11625543942143615,0.2808805804962427,-0.7673316617457644,0.644195801,0.500778381,0.38197644000000003
-0.044644876027874175,0.2913185709209506,-1.0765837579894528,0.314475861,0.5592138059999999,0.248986664
-0.2661623641585264,0.19815939954565043,-1.0315336137826807,0.396281494,0.347390198,0.19227865600000002
-0.24500164246388664,0.4154102854429057,-0.929612091666624,0.34987976099999996,0.367401337,0.426738403
0.033042929037314935,0.4638731131459928,-0.8324414053669662,0.474169098,0.686900574,0.505513672
0.12873206935298565,0.6094929407371283,-1.148964572664854,0.15168232699999998,0.819837158,0.508657135
-0.018713897665229226,0.6508264681367534,-1.4267760210718725,-0.129262161,0.6750556639999999,0.433508331
